,condition,model_year,make,model,trim_level,list_price,exterior_color,interior_color,fwd_or_awd,hybrid_or_eco,mileage,dealer_address,date_parsed,url,data_source_name
0,USED,2023,FORD,MAVERICK,XLT,38988,Hot Pepper Red Tinted Clearcoat,Navy Pier,Front-wheel Drive,Hybrid,20,"4328 Louisburg Rd Raleigh, NC 27604",2023-06-04,http://cars.com///vehicledetail/a9480f4c-2254-45a2-8897-01e97065a8d5/,cars.com
1,USED,2022,FORD,MAVERICK,XLT,37985,Oxford White,Navy Pier,All-wheel Drive,Gasoline,8773,"4900 Capital Blvd Raleigh, NC 27616",2023-06-04,http://cars.com///vehicledetail/56a144e7-a837-40a4-95da-b8cf40519bea/,cars.com
2,USED,2022,FORD,MAVERICK,XLT,34988,Area 51,Navy Pier,Front-wheel Drive,Hybrid,24125,"2350 Capital Summit Ct Raleigh, NC 27616",2023-06-04,http://cars.com///vehicledetail/af1b0ea9-ec06-46bd-8a7e-6166235ba7ab/,cars.com
3,USED,2022,FORD,MAVERICK,XLT,35000,Silver,Black Onyx,Front-wheel Drive,Gasoline,18425,"9820 Capital Blvd Wake Forest, NC 27587",2023-06-04,http://cars.com///vehicledetail/5ff372f4-b416-4320-9946-41b439ba524c/,cars.com
4,USED,2022,FORD,MAVERICK,XLT,34900,Shadow Black,Navy Pier,All-wheel Drive,Gasoline,9691,"9209 Glenwood Ave Raleigh, NC 27617",2023-06-04,http://cars.com///vehicledetail/3ed80a2d-b04a-4073-95ef-f0c111b2729a/,cars.com
5,USED,2023,FORD,MAVERICK,LARIAT,43900,Oxford White,Desert,Front-wheel Drive,Hybrid,54,"3990 W Highway 501 Conway, SC 29526",2023-06-04,http://cars.com///vehicledetail/b0c94a19-94b7-4f8a-a5e9-faf88dbf8efb/,cars.com
6,USED,2022,FORD,MAVERICK,XLT,33932,Carbonized Gray Metallic,Navy Pier/Medium Slate,Front-wheel Drive,Gasoline,4281,"602 Alamance Rd Burlington, NC 27215",2023-06-04,http://cars.com///vehicledetail/3585407a-c02c-469e-bb08-0a930b245666/,cars.com
7,USED,2022,FORD,MAVERICK,XLT,35500,Oxford White,Navy Pier / Medium Slate,Front-wheel Drive,Gasoline,25921,"602 Alamance Rd Burlington, NC 27215",2023-06-04,http://cars.com///vehicledetail/a6668fee-cac9-45b3-9882-da1b9767c223/,cars.com
8,USED,2022,FORD,MAVERICK,XLT,36604,Iconic Silver Metallic,Navy Pier,All-wheel Drive,Gasoline,33970,"912 S Van Buren Rd Eden, NC 27288",2023-06-04,http://cars.com///vehicledetail/76df3680-c2fc-4d73-b3a8-0b8a47b989e3/,cars.com
9,USED,2022,FORD,MAVERICK,LARIAT,43600,Velocity Blue Metallic,Desert,All-wheel Drive,Gasoline,1500,"11450 Washington Hwy Ashland, VA 23005",2023-06-04,http://cars.com///vehicledetail/b7ab8a14-204e-4d3f-b57b-ce4b5438df61/,cars.com
10,USED,2023,FORD,MAVERICK,XLT,36900,White,Navy Pier,All-wheel Drive,Gasoline,381,"418 Piedmont Dr Lexington, NC 27295",2023-06-04,http://cars.com///vehicledetail/48dd2e03-d461-4d12-820e-75e84ca9c35a/,cars.com
11,CERTIFIED,2022,FORD,MAVERICK,XLT,34812,ALTO BLUE METALLIC TC,NAVY PIER -MED SLATE TRIM,–,–,6611,"1163 Wards Road, Suite A Altavista, VA 24517",2023-06-04,http://cars.com///vehicledetail/b7d963ad-4b83-4a8d-8a74-0a821dcfa9a0/,cars.com
12,USED,2022,FORD,MAVERICK,XL,35599,Alto Blue Tinted Clearcoat Metallic,Black Onyx/Medium Dark Slate,All-wheel Drive,Gasoline,3016,"2600 Peters Creek Parkway Winston Salem, NC 27127",2023-06-04,http://cars.com///vehicledetail/adb7fd18-f3ca-4698-9a9b-d43f6cd43c0c/,cars.com
13,CERTIFIED,2022,FORD,MAVERICK,XLT,38494,Chili Pepper Red,Navy Pier,All-wheel Drive,Gasoline,8838,"2104 Peters Creek Winston Salem, NC 27127",2023-06-04,http://cars.com///vehicledetail/caae00d1-5491-473a-8293-be67b1f118a4/,cars.com
14,USED,2022,FORD,MAVERICK,LARIAT,38999,Oxford White,Desert,All-wheel Drive,Gasoline,15000,"979 N U.S. 1 Lugoff, SC 29078",2023-06-04,http://cars.com///vehicledetail/ca6f2239-c240-47d7-a09d-b0648196e41d/,cars.com
15,USED,2023,FORD,MAVERICK,XLT,35175,Silver,Black,All-wheel Drive,Gasoline,5303,"13307 Statesville Rd Huntersville, NC 28078",2023-06-04,http://cars.com///vehicledetail/ace703ab-6aeb-40a4-bb71-3f0ec85bde4e/,cars.com
