,condition,model_year,make,model,trim_level,list_price,exterior_color,interior_color,fwd_or_awd,hybrid_or_eco,mileage,dealer_address,date_parsed,url,data_source_name
0,USED,2022,FORD,MAVERICK,XL,,Oxford White,Black Onyx/Medium Dark Slate,Front-wheel Drive,Gasoline,1461.0,"2010 North Lincoln Street Greensburg, IN 47240",2023-05-11,https://www.cars.com,cars.com
1,USED,2022,FORD,MAVERICK,XL,,White,Gray,Front-wheel Drive,Gasoline,12729.0,"5700 NW 27th Ave Miami, FL 33142",2023-05-11,https://www.cars.com,cars.com
2,USED,2022,FORD,MAVERICK,LARIAT,,–,–,All-wheel Drive,Gasoline,0.0,"11514 Research Blvd Austin, TX 78759",2023-05-11,https://www.cars.com,cars.com
3,USED,2022,FORD,MAVERICK,LARIAT,38995.0,Black,Desert,Front-wheel Drive,Hybrid,22765.0,"607 Highway 33 Hamilton, NJ 08619",2023-05-11,https://www.cars.com,cars.com
4,USED,2023,FORD,MAVERICK,XLT,36995.0,Carbonized Gray Metallic,Navy Pier,Front-wheel Drive,Gasoline,1865.0,"2500 W Henrietta Rd Rochester, NY 14623",2023-05-11,https://www.cars.com,cars.com
5,CERTIFIED,2022,FORD,MAVERICK,XLT,37898.0,Cactus Green / Gray,Black Onyx,All-wheel Drive,Gasoline,3670.0,"2000 E Baker St Plant City, FL 33563",2023-05-11,https://www.cars.com,cars.com
6,USED,2022,FORD,MAVERICK,XLT,31560.0,Cactus,Navy Pier,All-wheel Drive,Gasoline,43951.0,"1425 W Main St Bartow, FL 33830",2023-05-11,https://www.cars.com,cars.com
7,USED,2022,FORD,MAVERICK,XLT,35900.0,Area 51,Navy Pier,Front-wheel Drive,Hybrid,12946.0,"2002 N Frontage Rd Plant City, FL 33563",2023-05-11,https://www.cars.com,cars.com
8,USED,2022,FORD,MAVERICK,XLT,34990.0,Oxford White,Navy Pier,All-wheel Drive,Gasoline,4370.0,"1129 Murfreesboro Rd. Franklin, TN 37064",2023-05-11,https://www.cars.com,cars.com
9,USED,2022,FORD,MAVERICK,LARIAT,40747.0,Chili Pepper Red,Desert,All-wheel Drive,Gasoline,2138.0,"8 Uxbridge Rd Mendon, MA 01756",2023-05-11,https://www.cars.com,cars.com
10,USED,2022,FORD,MAVERICK,XL,31700.0,Blue,Brown,Front-wheel Drive,CVT Transmission,13000.0,"Sid from Providence, RI 02908",2023-05-11,https://www.cars.com,cars.com
11,CERTIFIED,2022,FORD,MAVERICK,XL,33900.0,CARBONIZED GREY METALLIC,BLACK ONYX-MED DK SLATE TRI,–,–,10715.0,"968 Bridge Rd Northampton, MA 01060",2023-05-11,https://www.cars.com,cars.com
12,USED,2022,FORD,MAVERICK,LARIAT,39524.0,Gray,Desert,All-wheel Drive,Gasoline,5101.0,"212 Comtide Ct Franklin, TN 37067",2023-05-11,https://www.cars.com,cars.com
13,USED,2023,FORD,MAVERICK,XLT,39998.0,Black,Gray,FWD,Hybrid,2505.0,"2501 Powell Ave Nashville, TN 37204",2023-05-11,https://www.cars.com,cars.com
14,USED,2022,FORD,MAVERICK,XLT,36999.0,Gray Metallic,Navy Pier,Front-wheel Drive,Gasoline,7629.0,"2795 N State Hwy 7 North Vernon, IN 47265",2023-05-11,https://www.cars.com,cars.com
15,CERTIFIED,2022,FORD,MAVERICK,XLT,36300.0,Cactus Green / Gray,Navy Pier,Front-wheel Drive,Gasoline,18675.0,"28739 State Road 54 Wesley Chapel, FL 33543",2023-05-11,https://www.cars.com,cars.com
16,CERTIFIED,2022,FORD,MAVERICK,XLT,35574.0,Blue,Navy Pier,Front-wheel Drive,Gasoline,25315.0,"28739 State Road 54 Wesley Chapel, FL 33543",2023-05-11,https://www.cars.com,cars.com
17,USED,2022,FORD,MAVERICK,XLT,35991.0,Velocity Blue Metallic,Navy Pier,All-wheel Drive,Gasoline,6967.0,"11780 Tampa Gateway Blvd Seffner, FL 33584",2023-05-11,https://www.cars.com,cars.com
18,USED,2022,FORD,MAVERICK,XL,33564.0,Cactus Green / Gray,Black Onyx,Front-wheel Drive,Hybrid,19539.0,"646 Thompson Lane Nashville, TN 37204",2023-05-11,https://www.cars.com,cars.com
19,USED,2022,FORD,MAVERICK,XLT,36639.0,Gray,Navy Pier,Front-wheel Drive,Hybrid,13963.0,"1875 W McEwen Dr Franklin, TN 37067",2023-05-11,https://www.cars.com,cars.com
20,USED,2022,FORD,MAVERICK,XLT,38450.0,Alto Blue Tinted Clearcoat Metallic,Navy Pier/Medium Slate,All-wheel Drive,Gasoline,8982.0,"1638 Hughes Rd Madison, AL 35758",2023-05-11,https://www.cars.com,cars.com
21,USED,2022,FORD,MAVERICK,XL,36040.0,Shadow Black,Black Onyx,All-wheel Drive,Gasoline,6083.0,"1873 E Tipton St Seymour, IN 47274",2023-05-11,https://www.cars.com,cars.com
22,USED,2023,FORD,MAVERICK,XLT,38900.0,Gray,Blue,All-wheel Drive,Gasoline,6066.0,"5255 AL-157 Cullman, AL 35058",2023-05-11,https://www.cars.com,cars.com
23,USED,2022,FORD,MAVERICK,LARIAT,42888.0,Orange,Desert,All-wheel Drive,Gasoline,4556.0,"1211 Beltline Rd SW Decatur, AL 35601",2023-05-11,https://www.cars.com,cars.com
