,condition,model_year,make,model,trim_level,list_price,exterior_color,interior_color,fwd_or_awd,hybrid_or_eco,mileage,dealer_address,date_parsed
0,USED,2023,FORD,MAVERICK,XLT,38988,Hot Pepper Red Tinted Clearcoat,Navy Pier,Front-wheel Drive,Hybrid,20,"4328 Louisburg Rd Raleigh, NC 27604",2023-05-12
1,USED,2023,FORD,MAVERICK,LARIAT,40873,Oxford White,Desert,All-wheel Drive,Gasoline,42,"4900 Capital Blvd Raleigh, NC 27616",2023-05-12
2,USED,2022,FORD,MAVERICK,XL,34091,Iconic Silver Metallic,Black Onyx,Front-wheel Drive,Hybrid,14911,"3940 Capital Hills Drive Raleigh, NC 27616",2023-05-12
3,USED,2022,FORD,MAVERICK,XLT,35497,Silver,Black Onyx,Front-wheel Drive,Gasoline,18425,"9820 Capital Blvd Wake Forest, NC 27587",2023-05-12
4,USED,2022,FORD,MAVERICK,XLT,36000,Area 51,Navy Pier,All-wheel Drive,Gasoline,2913,"11000 Capital Blvd Wake Forest, NC 27587",2023-05-12
5,USED,2022,FORD,MAVERICK,LARIAT,38989,Area 51,Desert,All-wheel Drive,Gasoline,8919,"109 Mackenan Blvd. Cary, NC 27511",2023-05-12
6,CERTIFIED,2022,FORD,MAVERICK,XLT,38695,CACTUS GREY,NAVY PIER -MED SLATE TRIM,–,–,3740,"1515 S Military Hwy Chesapeake, VA 23320",2023-05-12
7,USED,2022,FORD,MAVERICK,LARIAT,37787,Blue,Desert,All-wheel Drive,Gasoline,38298,"2717 Virginia Beach Blvd Virginia Beach, VA 23452",2023-05-12
8,USED,2023,FORD,MAVERICK,XLT,37900,Area 51,Navy Pier,Front-wheel Drive,Hybrid,167,"3990 W Highway 501 Conway, SC 29526",2023-05-12
9,USED,2023,FORD,MAVERICK,XLT,37773,Gray,Black Onyx,Front-wheel Drive,Hybrid,77,"105 Auto Park Dr Graham, NC 27253",2023-05-12
10,USED,2022,FORD,MAVERICK,XLT,35473,Carbonized Gray Metallic,Navy Pier/Medium Slate,Front-wheel Drive,Gasoline,4281,"602 Alamance Rd Burlington, NC 27215",2023-05-12
11,USED,2022,FORD,MAVERICK,XLT,37093,Oxford White,Navy Pier / Medium Slate,Front-wheel Drive,Gasoline,25921,"602 Alamance Rd Burlington, NC 27215",2023-05-12
12,USED,2022,FORD,MAVERICK,XLT,34998,Blue,Black,All-wheel Drive,Gasoline,1522,"901 Murray Olds Dr Midlothian, VA 23114",2023-05-12
