,condition,model_year,make,model,trim_level,list_price,exterior_color,interior_color,fwd_or_awd,hybrid_or_eco,mileage,dealer_address,date_parsed,url,data_source_name
0,USED,2023,FORD,MAVERICK,XLT,38988,Hot Pepper Red Tinted Clearcoat,Navy Pier,Front-wheel Drive,Hybrid,20,"4328 Louisburg Rd Raleigh, NC 27604",2023-05-17,http://cars.com///vehicledetail/a9480f4c-2254-45a2-8897-01e97065a8d5/,cars.com
1,USED,2023,FORD,MAVERICK,LARIAT,40873,Oxford White,Desert,All-wheel Drive,Gasoline,42,"4900 Capital Blvd Raleigh, NC 27616",2023-05-17,http://cars.com///vehicledetail/14f4b02c-dd3b-48ef-8109-76b9a4cb3c0b/,cars.com
2,USED,2022,FORD,MAVERICK,XL,34091,Iconic Silver Metallic,Black Onyx,Front-wheel Drive,Hybrid,14911,"3940 Capital Hills Drive Raleigh, NC 27616",2023-05-17,http://cars.com///vehicledetail/7e510483-275e-43e7-888a-5df3ec961137/,cars.com
3,USED,2022,FORD,MAVERICK,XLT,35497,Silver,Black Onyx,Front-wheel Drive,Gasoline,18425,"9820 Capital Blvd Wake Forest, NC 27587",2023-05-17,http://cars.com///vehicledetail/5ff372f4-b416-4320-9946-41b439ba524c/,cars.com
4,USED,2022,FORD,MAVERICK,XLT,35438,Area 51,Navy Pier,All-wheel Drive,Gasoline,2914,"11000 Capital Blvd Wake Forest, NC 27587",2023-05-17,http://cars.com///vehicledetail/30bf4838-5e2e-461b-b54d-b4d23d18edc7/,cars.com
5,USED,2022,FORD,MAVERICK,LARIAT,38989,Area 51,Desert,All-wheel Drive,Gasoline,8919,"109 Mackenan Blvd. Cary, NC 27511",2023-05-17,http://cars.com///vehicledetail/78362f7e-73bb-48d0-8715-690a6f5d8df5/,cars.com
6,USED,2023,FORD,MAVERICK,XL,35998,Silver,Gray,Front-wheel Drive,Hybrid,101,"3801 Bonney Rd Virginia Beach, VA 23452",2023-05-17,http://cars.com///vehicledetail/3de17eb8-c2a0-49af-9095-6c7450d15576/,cars.com
7,USED,2022,FORD,MAVERICK,LARIAT,34780,Blue,Desert,All-wheel Drive,Gasoline,38298,"2717 Virginia Beach Blvd Virginia Beach, VA 23452",2023-05-17,http://cars.com///vehicledetail/c270f88c-0910-4f33-ba85-a0d4d796e180/,cars.com
8,USED,2023,FORD,MAVERICK,XLT,36905,Area 51,Navy Pier,Front-wheel Drive,Hybrid,167,"3990 W Highway 501 Conway, SC 29526",2023-05-17,http://cars.com///vehicledetail/a709c00e-71dc-4e9a-857c-bb4203358b0b/,cars.com
9,USED,2023,FORD,MAVERICK,XLT,37773,Gray,Black Onyx,Front-wheel Drive,Hybrid,77,"105 Auto Park Dr Graham, NC 27253",2023-05-17,http://cars.com///vehicledetail/6efb493d-3bd4-4c9f-b5e5-23408b26c318/,cars.com
10,USED,2022,FORD,MAVERICK,XLT,34737,Carbonized Gray Metallic,Navy Pier/Medium Slate,Front-wheel Drive,Gasoline,4281,"602 Alamance Rd Burlington, NC 27215",2023-05-17,http://cars.com///vehicledetail/3585407a-c02c-469e-bb08-0a930b245666/,cars.com
11,USED,2022,FORD,MAVERICK,XLT,36530,Oxford White,Navy Pier / Medium Slate,Front-wheel Drive,Gasoline,25921,"602 Alamance Rd Burlington, NC 27215",2023-05-17,http://cars.com///vehicledetail/a6668fee-cac9-45b3-9882-da1b9767c223/,cars.com
12,USED,2022,FORD,MAVERICK,XL,30415,–,–,Front-wheel Drive,Gasoline,19022,"500 Eastchester Dr High Point, NC 27262",2023-05-17,http://cars.com///vehicledetail/13a04ed6-409d-4917-8f12-eac4df65d490/,cars.com
13,USED,2022,FORD,MAVERICK,XLT,36604,Iconic Silver Metallic,Navy Pier,All-wheel Drive,Gasoline,33970,"912 S Van Buren Rd Eden, NC 27288",2023-05-17,http://cars.com///vehicledetail/76df3680-c2fc-4d73-b3a8-0b8a47b989e3/,cars.com
14,USED,2022,FORD,MAVERICK,XLT,35998,Gray,Black,All-wheel Drive,Gasoline,10249,"11090 W Broad St Glen Allen, VA 23060",2023-05-17,http://cars.com///vehicledetail/72c29ae0-5916-49a2-b2e5-9bf76b923471/,cars.com
15,USED,2022,FORD,MAVERICK,LARIAT,38996,Shadow Black,Desert,All-wheel Drive,Gasoline,26,"96 Radio Dr Lexington, NC 27292",2023-05-17,http://cars.com///vehicledetail/71badabe-b5d2-4708-97d2-9630c9156738/,cars.com
16,USED,2023,FORD,MAVERICK,XLT,36900,White,Navy Pier,All-wheel Drive,Gasoline,381,"418 Piedmont Dr Lexington, NC 27295",2023-05-17,http://cars.com///vehicledetail/48dd2e03-d461-4d12-820e-75e84ca9c35a/,cars.com
17,CERTIFIED,2022,FORD,MAVERICK,XLT,34812,ALTO BLUE METALLIC TC,NAVY PIER -MED SLATE TRIM,–,–,6611,"1163 Wards Road, Suite A Altavista, VA 24517",2023-05-17,http://cars.com///vehicledetail/b7d963ad-4b83-4a8d-8a74-0a821dcfa9a0/,cars.com
18,USED,2022,FORD,MAVERICK,XL,36899,Alto Blue Tinted Clearcoat Metallic,Black Onyx/Medium Dark Slate,All-wheel Drive,Gasoline,3016,"2600 Peters Creek Parkway Winston Salem, NC 27127",2023-05-17,http://cars.com///vehicledetail/adb7fd18-f3ca-4698-9a9b-d43f6cd43c0c/,cars.com
19,CERTIFIED,2022,FORD,MAVERICK,XLT,38968,Chili Pepper Red,Navy Pier,All-wheel Drive,Gasoline,8838,"2104 Peters Creek Winston Salem, NC 27127",2023-05-17,http://cars.com///vehicledetail/caae00d1-5491-473a-8293-be67b1f118a4/,cars.com
20,USED,2022,FORD,MAVERICK,LARIAT,39629,Oxford White,Desert,All-wheel Drive,Gasoline,15000,"979 N U.S. 1 Lugoff, SC 29078",2023-05-17,http://cars.com///vehicledetail/ca6f2239-c240-47d7-a09d-b0648196e41d/,cars.com
21,USED,2023,FORD,MAVERICK,XLT,36789,Silver,Black,All-wheel Drive,Gasoline,5303,"13307 Statesville Rd Huntersville, NC 28078",2023-05-17,http://cars.com///vehicledetail/ace703ab-6aeb-40a4-bb71-3f0ec85bde4e/,cars.com
