,condition,model_year,make,model,trim_level,list_price,exterior_color,interior_color,fwd_or_awd,hybrid_or_eco,mileage,dealer_address,date_parsed
0,USED,2022,FORD,MAVERICK,LARIAT,40750,Blue,Desert,Front-wheel Drive,Hybrid,8531,"266 W Service Rd Staten Island, NY 10314",2023-05-09
1,USED,2022,FORD,MAVERICK,LARIAT,37706,Area 51,Desert,Front-wheel Drive,Gasoline,8120,"5575 Keim Cir Columbus, OH 43228",2023-05-09
2,USED,2022,FORD,MAVERICK,XLT,35549,Hot Pepper Red Tinted Clearcoat,Black Onyx,All-wheel Drive,Gasoline,17245,"155 Country Rd 406 South Point, OH 45680",2023-05-09
3,USED,2023,FORD,MAVERICK,LARIAT,50000,Avalanche Gray,Black Onyx,All-wheel Drive,Gasoline,357,"1875 Buford Hwy Cumming, GA 30041",2023-05-09
4,USED,2022,FORD,MAVERICK,XLT,33999,Silver,Gray,All-wheel Drive,Gasoline,14468,"2520 Pleasant Hill Rd Duluth, GA 30096",2023-05-09
5,USED,2022,FORD,MAVERICK,LARIAT,41700,Blue,Desert,Front-wheel Drive,Hybrid,10176,"2317 State Road 44 New Smyrna Beach, FL 32168",2023-05-09
6,USED,2022,FORD,MAVERICK,XL,29129,Blue,Desert,All-wheel Drive,Gasoline,31773,"1875 Brittain Road Akron, OH 44310",2023-05-09
7,USED,2022,FORD,MAVERICK,XLT,34995,Cactus Green / Gray,Navy Pier,Front-wheel Drive,Hybrid,26271,"2409 Front Street Cuyahoga Falls, OH 44221",2023-05-09
8,USED,2022,FORD,MAVERICK,XL,32650,White,Black Onyx,All-wheel Drive,Gasoline,29810,"175 E Main St Norwich, NY 13815",2023-05-09
9,USED,2022,FORD,MAVERICK,XLT,35458,Area 51,Navy Pier,Front-wheel Drive,Hybrid,16314,"5575 Keim Circle Columbus, OH 43228",2023-05-09
10,USED,2022,FORD,MAVERICK,LARIAT,38998,Black,Brown,All-wheel Drive,Gasoline,12003,"4185 N Main St Gainesville, FL 32609",2023-05-09
11,USED,2022,FORD,MAVERICK,LARIAT,39500,Black,Desert,Front-wheel Drive,Hybrid,22765,"607 Highway 33 Hamilton, NJ 08619",2023-05-09
12,USED,2022,FORD,MAVERICK,LARIAT,43998,Blue,Brown,Front-wheel Drive,Hybrid,3291,"10400 Southpoint Pkwy Fredericksburg, VA 22407",2023-05-09
13,USED,2023,FORD,MAVERICK,XLT,37500,Blue Metallic,–,All-wheel Drive,Gasoline,2007,"200 Gabbard Way Mt Orab, OH 45154",2023-05-09
14,USED,2023,FORD,MAVERICK,XLT,38990,Blue,Blue,Front-wheel Drive,CVT Transmission,415,"Andrew from Belcamp, MD 21017",2023-05-09
15,USED,2022,FORD,MAVERICK,XLT,37781,–,Navy Pier/Medium Slate,All-wheel Drive,Gasoline,1635,"1001 Jamestown Rd Morganton, NC 28655",2023-05-09
16,USED,2022,FORD,MAVERICK,LARIAT,37824,Cactus Gray,Desert Brown,All-wheel Drive,Gasoline,17416,"1001 Jamestown Rd Morganton, NC 28655",2023-05-09
17,USED,2022,FORD,MAVERICK,XLT,34900,Area 51,Navy Pier,Front-wheel Drive,Hybrid,4757,"2231 White Hall Blvd White Hall, WV 26554",2023-05-09
18,USED,2022,FORD,MAVERICK,XLT,34999,Carbonized Gray,–,All-wheel Drive,Gasoline,20544,"21 Pottstown Pike Chester Springs, PA 19425",2023-05-09
19,USED,2023,FORD,MAVERICK,XL,34995,Area 51,Black Onyx,Front-wheel Drive,Hybrid,61,"1551 W Old Liberty Rd Sykesville, MD 21784",2023-05-09
20,USED,2022,FORD,MAVERICK,LARIAT,37513,Shadow Black,Desert,All-wheel Drive,Gasoline,3098,"8501 Glenwood Ave Raleigh, NC 27612",2023-05-09
21,USED,2022,FORD,MAVERICK,XLT,36508,Area 51,Navy Pier,All-wheel Drive,Gasoline,2913,"11000 Capital Blvd Wake Forest, NC 27587",2023-05-09
22,USED,2022,FORD,MAVERICK,LARIAT,39444,Oxford White,Desert,All-wheel Drive,Gasoline,15000,"979 N U.S. 1 Lugoff, SC 29078",2023-05-09
23,USED,2022,FORD,MAVERICK,XLT,36900,Area 51,Navy Pier,All-wheel Drive,Gasoline,10483,"418 Piedmont Dr Lexington, NC 27295",2023-05-09
